Resort ID,NameResort
872,. Vigiljoch (Monte San Vigilio) – Lana
873,. Feldthurns (Velturno)
874,ala-di-stura
875,alpe-cainallo-esino-lario
876,alpe-cialma-locana
877,alpe-devero-baceno
878,alpe-teglio-prato-valentino
879,alpette
880,antermoia-san-martin-de-tor
881,arabba
882,arioso-sasso-di-castalda
883,bagolino
884,balme-di-lanzo
885,barco-del-sangro
886,bellino
887,biancoia-conco
888,bolbeno
889,borno-monte-altissimo
890,bruncu-spina
891,brusson-estoul
892,caldirola-monte-gropa
893,camigliatello-silano
894,campigna-montefalco
895,campo-catino
896,campo-di-giove-majella-occidentale
897,campo-rotondo-cappadocia
898,campo-staffi
899,capracotta
900,careggine-alpi-apuane-monte-la-cima
901,castiglione-di-garfagnana
902,ceresole-reale
903,cerreto-laghi
904,chamois
905,chanavey
906,cima-ekar
907,cogne-gran-paradiso
908,cogolo
909,colle-de-lys
910,colle-di-joux
911,conca-dellalben
912,conserva-di-lauria
913,croce-daune-monte-avena
914,crodo
915,doganaccia-2000-cutigliano
916,domobianca
917,doues
918,edolo
919,emarsee
920,entracque
921,eremo-di-monte-carpegna
922,etna-nord-linguaglossa
923,etna-southnicolosi
924,etroubles
925,febbio-2000-monte-cusna
926,fiumalbo-doccia
927,forca-canapine
928,frosinone
929,funes-villnoess
